Year,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2021-22,0.00,14.00,,1.00,,,9.00,1.00,,16.00,,,,,6.00,11.00,7.00,2.00,,,,,6.00,7.00,,,,2.00,2.00,
2020-21,10.00,1.00,7.00,,,,3.00,4.00,,,,,10.00,2.00,1.00,,16.00,,,1.00,,,7.00,14.00,2.00,,,,6.00,1.00
2019-20,,10.00,,,,,2.00,9.00,,,5.00,,7.00,16.00,,14.00,5.00,,,,3.00,1.00,,,1.00,,,7.00,3.00,
2018-19,,5.00,1.00,,,,,7.00,,14.00,6.00,,2.00,,,10.00,,,,,1.00,1.00,7.00,,8.00,,3.00,16.00,1.00,
2017-18,,11.00,,,,12.00,,,,16.00,11.00,3.00,,,,1.00,3.00,1.00,5.00,,2.00,,5.00,,,,1.00,4.00,5.00,2.00
2016-17,2.00,9.00,,2.00,,13.00,,,,16.00,5.00,,3.00,,2.00,,2.00,,,,1.00,,,,,,10.00,4.00,4.00,7.00
2015-16,4.00,2.00,,,3.00,16.00,1.00,,,15.00,1.00,3.00,,2.00,,7.00,,,,,11.00,,,,5.00,,6.00,10.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
